Feature,Importance
Loudness,0.12151286317568441
Duration_ms,0.11264362994717857
Acousticness,0.10383803268840226
Tempo,0.10075692181949261
Valence,0.09818506004875033
Energy,0.09582913769222044
Speechiness,0.09555820387932887
Danceability,0.08864655365660142
Liveness,0.08501648137363882
Instrumentalness,0.05249354131360174
Key,0.04551957440510056
